"game_name";"game_description";"game_year";"game_cloneof";"game_romof";"video_screen";"video_orientation";"video_x";"video_y";"video_freq";"input_players";"input_control";"input_buttons";"driver_status";"driver_color";"driver_sound"
"m_luvjub";"Luvvly Jubbly (UK Multisite 10/25p, Game Card 95-750-808)";1996;;;"raster";"horizontal";72;21;50;1;;9;"preliminary";"good";"good"
"m_cpeno1";"Club Public Enemy No.1 (UK, Game Card 95-750-846)";1996;;;"raster";"horizontal";72;21;50;1;;6;"preliminary";"good";"good"
"tourtab2";"Tournament Table (set 2)";1978;"tourtabl";"tourtabl";"raster";"horizontal";160;200;59.922743;4;"paddle";1;"good";"good";"good"
"tourtabl";"Tournament Table (set 1)";1978;;;"raster";"horizontal";160;200;59.922743;4;"paddle";1;"good";"good";"good"
"tgtpanic";"Target Panic";1996;;;"raster";"horizontal";192;192;60;1;"joy8way";1;"good";"good";"good"
"jokrwild";"Joker's Wild (encrypted)";1988;;;"raster";"horizontal";192;208;60;1;;;"preliminary";"good";"preliminary"
"drw80pkr";"Draw 80 Poker";1982;;;"raster";"horizontal";192;216;60;1;;;"preliminary";"good";"good"
"drw80pk2";"Draw 80 Poker - Minn";1983;;;"raster";"horizontal";192;216;60;1;;;"preliminary";"good";"good"
"videopkr";"Video Poker";1984;;;"raster";"horizontal";208;208;60;1;;;"good";"good";"good"
"fortune1";"Fortune I (PK485-S) Draw Poker";1984;"videopkr";"videopkr";"raster";"horizontal";208;208;60;1;;;"good";"good";"good"
"blckjack";"Black Jack";1984;"videopkr";"videopkr";"raster";"horizontal";216;224;60;1;;4;"good";"good";"good"
"bankp";"Bank Panic";1984;;;"raster";"horizontal";224;224;60;2;"joy2way";3;"good";"good";"good"
"ssrj";"Super Speed Race Junior (Japan)";1985;;;"raster";"horizontal";224;232;60;1;"dial";2;"preliminary";"preliminary";"good"
"lazarian";"Lazarian";1981;"laserbat";"laserbat";"raster";"horizontal";224;240;50;1;"joy8way";4;"preliminary";"preliminary";"imperfect"
"laserbat";"Laser Battle";1981;;;"raster";"horizontal";224;240;50;1;"joy8way";4;"preliminary";"preliminary";"imperfect"
"ace";"Ace";1976;;;"raster";"horizontal";224;240;60;2;"joy8way";1;"preliminary";"imperfect";"preliminary"
"meijinsn";"Meijinsen";1986;;;"raster";"horizontal";232;224;60;2;"joy8way";2;"good";"good";"good"
"dowild";"Mr. Do's Wild Ride";1984;;;"raster";"horizontal";240;192;59.6;2;"joy4way";2;"good";"good";"good"
"dorunrun";"Do! Run Run (set 1)";1984;;;"raster";"horizontal";240;192;59.6;2;"joy4way";2;"good";"good";"good"
"pbchmp95";"Pinball Champ '95 (bootleg?)";1995;"witch";"witch";"raster";"horizontal";240;192;60;1;;6;"good";"good";"good"
"idsoccer";"Indoor Soccer";1985;;;"raster";"horizontal";240;192;59.6;2;"doublejoy8way";2;"good";"good";"good"
"dorunrun2";"Do! Run Run (set 2)";1984;"dorunrun";"dorunrun";"raster";"horizontal";240;192;59.6;2;"joy4way";2;"good";"good";"good"
"cavenger";"Cosmic Avenger";1981;;;"raster";"horizontal";240;192;60;2;"joy8way";2;"good";"good";"good"
"witch";"Witch";1992;;;"raster";"horizontal";240;192;60;1;;6;"good";"good";"good"
"snapjack";"Snap Jack";1982;;;"raster";"horizontal";240;192;60;2;"joy8way";2;"good";"good";"good"
"dorunrunc";"Do! Run Run (Do's Castle hardware, set 1)";1984;"dorunrun";"dorunrun";"raster";"horizontal";240;192;59.6;2;"joy4way";2;"good";"good";"good"
"dorunrunca";"Do! Run Run (Do's Castle hardware, set 2)";1984;"dorunrun";"dorunrun";"raster";"horizontal";240;192;59.6;2;"joy4way";2;"good";"good";"good"
"spiero";"Super Pierrot (Japan)";1987;"dorunrun";"dorunrun";"raster";"horizontal";240;192;59.6;2;"joy4way";2;"good";"good";"good"
"kickridr";"Kick Rider";1984;;;"raster";"horizontal";240;192;59.6;2;"joy8way";2;"good";"good";"good"
"momoko";"Momoko 120%";1986;;;"raster";"horizontal";240;216;60;2;"joy8way";2;"good";"good";"good"
"markham";"Markham";1983;;;"raster";"horizontal";240;224;60;2;"joy8way";2;"good";"good";"good"
"banbam";"BanBam";1984;;;"raster";"horizontal";240;224;60;2;"joy4way";1;"preliminary";"good";"good"
"farmer";"Farmers Rebellion";1985;"ikki";"ikki";"raster";"horizontal";240;224;60;2;"joy8way";1;"good";"good";"good"
"manhatan";"Manhattan 24 Bunsyo (Japan)";1986;"jailbrek";"jailbrek";"raster";"horizontal";240;224;60.606061;2;"joy8way";2;"good";"good";"good"
"citycon";"City Connection (set 1)";1985;;;"raster";"horizontal";240;224;60;2;"joy8way";2;"good";"good";"good"
"farwest";"Far West";1986;"ironhors";"ironhors";"raster";"horizontal";240;224;30;2;"joy4way";3;"preliminary";"good";"good"
"citycona";"City Connection (set 2)";1985;"citycon";"citycon";"raster";"horizontal";240;224;60;2;"joy8way";2;"good";"good";"good"
"ironhors";"Iron Horse";1986;;;"raster";"horizontal";240;224;30;2;"joy4way";3;"good";"good";"good"
"strnskil";"Strength & Skill";1984;;;"raster";"horizontal";240;224;60;2;"joy8way";2;"good";"good";"good"
"jailbrek";"Jail Break";1986;;;"raster";"horizontal";240;224;60.606061;2;"joy8way";2;"good";"good";"good"
"mrgoemon";"Mr. Goemon (Japan)";1986;;;"raster";"horizontal";240;224;60;2;"joy8way";2;"good";"good";"good"
"scion";"Scion";1984;;;"raster";"horizontal";240;224;60;2;"joy8way";2;"imperfect";"imperfect";"imperfect"
"gberet";"Green Beret";1985;;;"raster";"horizontal";240;224;30;2;"joy8way";2;"good";"good";"good"
"suprloco";"Super Locomotive";1982;;;"raster";"horizontal";240;224;60;2;"joy8way";2;"good";"good";"good"
"sauro";"Sauro";1987;;;"raster";"horizontal";240;224;55.72;2;"joy8way";2;"good";"good";"good"
"dairesya";"Dai Ressya Goutou (Japan)";1986;"ironhors";"ironhors";"raster";"horizontal";240;224;30;2;"joy4way";3;"good";"good";"good"
"sprcros2a";"Super Cross II (Japan, set 2)";1986;"sprcros2";"sprcros2";"raster";"horizontal";240;224;60;2;"joy8way";2;"good";"good";"good"
"lkageoo";"The Legend of Kage (oldest)";1984;"lkage";"lkage";"raster";"horizontal";240;224;60;2;"joy8way";2;"good";"good";"good"
"guiness";"The Guiness (Japan)";1984;"strnskil";"strnskil";"raster";"horizontal";240;224;60;2;"joy8way";2;"good";"good";"good"
"trckydoc";"Tricky Doc (Set 1)";1987;;;"raster";"horizontal";240;224;55.72;2;"joy8way";2;"good";"good";"good"
"jailbrekb";"Jail Break (Bootleg)";1986;"jailbrek";"jailbrek";"raster";"horizontal";240;224;60.606061;2;"joy8way";2;"good";"good";"good"
"photof";"Photo Finish";1991;"wwjgtin";"wwjgtin";"raster";"horizontal";240;224;57;2;"joy4way";2;"good";"good";"good"
"rushatck";"Rush'n Attack (US)";1985;"gberet";"gberet";"raster";"horizontal";240;224;30;2;"joy8way";2;"good";"good";"good"
"ssanchan";"Sanrin San Chan (Japan)";1984;"spatter";"spatter";"raster";"horizontal";240;224;60.096154;2;"joy8way";2;"good";"good";"good"
"trckydoca";"Tricky Doc (Set 2)";1987;"trckydoc";"trckydoc";"raster";"horizontal";240;224;55.72;2;"joy8way";2;"good";"good";"good"
"lkageb3";"The Legend of Kage (bootleg set 3)";1984;"lkage";"lkage";"raster";"horizontal";240;224;60;2;"joy8way";2;"good";"good";"good"
"lkage";"The Legend of Kage";1984;;;"raster";"horizontal";240;224;60;2;"joy8way";2;"good";"good";"good"
"lkageb2";"The Legend of Kage (bootleg set 2)";1984;"lkage";"lkage";"raster";"horizontal";240;224;60;2;"joy8way";2;"good";"good";"good"
"wwjgtin";"Wai Wai Jockey Gate-In!";1984;;;"raster";"horizontal";240;224;57;2;"joy4way";2;"good";"good";"good"
"pettanp";"Pettan Pyuu (Japan)";1984;"banbam";"banbam";"raster";"horizontal";240;224;60;2;"joy4way";1;"preliminary";"good";"good"
"scionc";"Scion (Cinematronics)";1984;"scion";"scion";"raster";"horizontal";240;224;60;2;"joy8way";2;"imperfect";"imperfect";"imperfect"
"lkageb";"The Legend of Kage (bootleg set 1)";1984;"lkage";"lkage";"raster";"horizontal";240;224;60;2;"joy8way";2;"good";"good";"good"
"spatter";"Spatter";1984;;;"raster";"horizontal";240;224;60.096154;2;"joy8way";2;"good";"good";"good"
"ikki";"Ikki (Japan)";1985;;;"raster";"horizontal";240;224;60;2;"joy8way";1;"good";"good";"good"
"gberetb";"Green Beret (bootleg)";1985;"gberet";"gberet";"raster";"horizontal";240;224;60;1;"joy8way";2;"good";"good";"good"
"sprcros2";"Super Cross II (Japan, set 1)";1986;;;"raster";"horizontal";240;224;60;2;"joy8way";2;"good";"good";"good"
"suprlocoa";"Super Locomotive (Rev.A)";1982;"suprloco";"suprloco";"raster";"horizontal";240;224;60;2;"joy8way";2;"good";"good";"good"
"lkageo";"The Legend of Kage (older)";1984;"lkage";"lkage";"raster";"horizontal";240;224;60;2;"joy8way";2;"good";"good";"good"
"cruisin";"Cruisin";1985;"citycon";"citycon";"raster";"horizontal";240;224;60;2;"joy8way";2;"good";"good";"good"
"liberatr";"Liberator (set 1)";1982;;;"raster";"horizontal";240;232;60;2;"trackball";2;"good";"good";"good"
"liberatr2";"Liberator (set 2)";1982;"liberatr";"liberatr";"raster";"horizontal";240;232;60;2;"trackball";2;"good";"good";"good"
"brkthru";"Break Thru (US)";1986;;;"raster";"horizontal";240;240;57.444853;2;"joy8way";2;"good";"good";"good"
"sonson";"Son Son";1984;;;"raster";"horizontal";240;240;60;2;"joy8way";1;"good";"good";"good"
"wexpressb";"Western Express (bootleg set 1)";1986;"exprraid";"exprraid";"raster";"horizontal";240;240;60;2;"joy8way";2;"good";"good";"good"
"wexpress";"Western Express (World?)";1986;"exprraid";"exprraid";"raster";"horizontal";240;240;60;2;"joy8way";2;"good";"good";"good"
"brkthruj";"Kyohkoh-Toppa (Japan)";1986;"brkthru";"brkthru";"raster";"horizontal";240;240;57.444853;2;"joy8way";2;"good";"good";"good"
"wexpressb2";"Western Express (bootleg set 2)";1986;"exprraid";"exprraid";"raster";"horizontal";240;240;60;2;"joy8way";2;"good";"good";"good"
"nkdodge";"Nekketsu Koukou Dodgeball Bu (Japan)";1987;"spdodgeb";"spdodgeb";"raster";"horizontal";240;240;60;2;"joy8way";2;"good";"good";"good"
"kuniokunb";"Nekketsu Kouha Kunio-kun (Japan bootleg)";1986;"renegade";"renegade";"raster";"horizontal";240;240;60;2;"joy8way";3;"good";"good";"good"
"troangel";"Tropical Angel";1983;;;"raster";"horizontal";240;240;57;2;"joy2way";2;"good";"good";"good"
"kuniokun";"Nekketsu Kouha Kunio-kun (Japan)";1986;"renegade";"renegade";"raster";"horizontal";240;240;60;2;"joy8way";3;"good";"good";"good"
"malzak2";"Malzak II";;"malzak";"malzak";"raster";"horizontal";240;240;50;1;"joy8way";1;"preliminary";"good";"preliminary"
"boxer";"Boxer (prototype)";1978;;;"raster";"horizontal";240;240;60;2;"stick";;"preliminary";"good";"preliminary"
"nkdodgeb";"Nekketsu Koukou Dodgeball Bu (Japan, bootleg)";1987;"spdodgeb";"spdodgeb";"raster";"horizontal";240;240;60;2;"joy8way";2;"good";"good";"good"
"newtangl";"New Tropical Angel";1983;"troangel";"troangel";"raster";"horizontal";240;240;57;2;"joy2way";2;"good";"good";"good"
"sonsonj";"Son Son (Japan)";1984;"sonson";"sonson";"raster";"horizontal";240;240;60;2;"joy8way";1;"good";"good";"good"
"malzak";"Malzak";;;;"raster";"horizontal";240;240;50;1;"joy8way";1;"preliminary";"good";"preliminary"
"forcebrk";"Force Break (bootleg)";1986;"brkthru";"brkthru";"raster";"horizontal";240;240;57.444853;2;"joy8way";2;"good";"good";"good"
"spdodgeb";"Super Dodge Ball (US)";1987;;;"raster";"horizontal";240;240;60;2;"joy8way";2;"good";"good";"good"
"exprraida";"Express Raider (US set 2)";1986;"exprraid";"exprraid";"raster";"horizontal";240;240;60;2;"joy8way";2;"good";"good";"good"
"renegade";"Renegade (US)";1986;;;"raster";"horizontal";240;240;60;2;"joy8way";3;"good";"good";"good"
"exprraid";"Express Raider (US set 1)";1986;;;"raster";"horizontal";240;240;60;2;"joy8way";2;"good";"good";"good"
"alpha1v";"Alpha One (Vision Electronics / Kyle Hodgetts)";1988;;;"raster";"horizontal";240;252;56.737589;2;"joy8way";2;"preliminary";"good";"preliminary"
"mpatrol";"Moon Patrol";1982;;;"raster";"horizontal";240;252;56.737589;2;"joy2way";2;"good";"good";"good"
"mpatrolw";"Moon Patrol (Williams)";1982;"mpatrol";"mpatrol";"raster";"horizontal";240;252;56.737589;2;"joy2way";2;"good";"good";"good"
"kncljoea";"Knuckle Joe (set 2)";1985;"kncljoe";"kncljoe";"raster";"horizontal";240;256;60;2;"joy8way";2;"good";"good";"good"
"bcrusher";"Bone Crusher";1985;"kncljoe";"kncljoe";"raster";"horizontal";240;256;60;2;"joy8way";2;"good";"good";"good"
"kncljoe";"Knuckle Joe (set 1)";1985;;;"raster";"horizontal";240;256;60;2;"joy8way";2;"good";"good";"good"
"carpolo";"Car Polo";1977;;;"raster";"horizontal";240;256;60;4;"dial";3;"preliminary";"good";"preliminary"
"formatz";"Formation Z";1984;;;"raster";"horizontal";248;224;60;2;"joy8way";2;"imperfect";"good";"good"
"aeroboto";"Aeroboto";1984;"formatz";"formatz";"raster";"horizontal";248;224;60;2;"joy8way";2;"imperfect";"good";"good"
"trvmadns";"Trivia Madness";1985;;;"raster";"horizontal";248;240;60;1;;5;"preliminary";"preliminary";"good"
"compgolfo";"Competition Golf Final Round (old version)";1985;"compgolf";"compgolf";"raster";"horizontal";248;240;60;2;"joy8way";2;"good";"good";"good"
"compgolf";"Competition Golf Final Round (revision 3)";1986;;;"raster";"horizontal";248;240;60;2;"joy8way";2;"good";"good";"good"
"smash";"Smash (Crash bootleg)";1979;"crash";"crash";"raster";"horizontal";248;256;57;1;"joy4way";1;"imperfect";"good";"imperfect"
"circusse";"Circus (Sub-Electro bootleg)";1977;"circus";"circus";"raster";"horizontal";248;256;57;1;"paddle";;"imperfect";"good";"imperfect"
"ripcord";"Rip Cord";1979;;;"raster";"horizontal";248;256;57;1;"paddle";2;"imperfect";"good";"imperfect"
